0,1,2,3
Vietnam,Transportation,Edit,
Vietnam,One-way Ticket (Local Transport),0.29 $,0.25-0.41
Vietnam,Monthly Pass (Regular Price),8.20 $,5.13-14.35
Vietnam,Taxi Start (Normal Tariff),0.62 $,0.41-0.82
Vietnam,Taxi 1km (Normal Tariff),0.62 $,0.49-0.82
Vietnam,Taxi 1hour Waiting (Normal Tariff),4.10 $,1.44-12.30
Vietnam,Gasoline (1 liter),1.06 $,0.86-1.25
Vietnam,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"41,009.96 $","28,706.97-48,350.74"
Vietnam,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"35,354.00 $","32,397.87-41,009.96"
Vietnam,Utilities (Monthly),Edit,
Vietnam,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",64.73 $,41.01-123.03
Vietnam,Mobile Phone Monthly Plan with Calls and 10GB+ Data,5.91 $,4.10-8.20
Vietnam,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",10.17 $,7.50-16.40
Vietnam,Sports And Leisure,Edit,
Vietnam,"Fitness Club, Monthly Fee for 1 Adult",25.21 $,12.30-61.51
Vietnam,Tennis Court Rent (1 Hour on Weekend),8.88 $,4.10-16.40
Vietnam,"Cinema, International Release, 1 Seat",4.10 $,3.28-6.15
Vietnam,Childcare,Edit,
Vietnam,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",244.97 $,98.42-410.10
Vietnam,"International Primary School, Yearly for 1 Child","13,777.31 $","8,201.99-21,776.29"
Vietnam,Clothing And Shoes,Edit,
Vietnam,1 Pair of Jeans (Levis 501 Or Similar),37.02 $,16.40-82.02
Vietnam,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",30.62 $,16.40-53.31
Vietnam,1 Pair of Nike Running Shoes (Mid-Range),96.02 $,50.03-150.00
Vietnam,1 Pair of Men Leather Business Shoes,94.14 $,41.01-204.64
Vietnam,Rent Per Month,Edit,
Vietnam,Apartment (1 bedroom) in City Centre,355.10 $,205.05-615.15
Vietnam,Apartment (1 bedroom) Outside of Centre,227.74 $,164.04-410.10
Vietnam,Apartment (3 bedrooms) in City Centre,834.98 $,"492.12-1,640.40"
Vietnam,Apartment (3 bedrooms) Outside of Centre,496.62 $,"307.57-1,025.25"
Vietnam,Buy Apartment Price,Edit,
Vietnam,Price per Square Meter to Buy Apartment in City Centre,"2,782.65 $","1,640.40-5,659.37"
Vietnam,Price per Square Meter to Buy Apartment Outside of Centre,"1,473.17 $","902.22-2,460.60"
Vietnam,Salaries And Financing,Edit,
Vietnam,Average Monthly Net Salary (After Tax),441.15 $,
Vietnam,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.43,6.65-14.00
Myanmar,Restaurants,Edit,Range
Myanmar,"Meal, Inexpensive Restaurant",2.00 $,1.50-5.00
Myanmar,"Meal for 2 People, Mid-range Restaurant, Three-course",16.23 $,13.00-40.00
Myanmar,McMeal at McDonalds (or Equivalent Combo Meal),5.41 $,3.57-7.00
Myanmar,Domestic Beer (0.5 liter draught),1.39 $,0.72-2.22
Myanmar,Imported Beer (0.33 liter bottle),2.00 $,1.50-3.00
Myanmar,Cappuccino (regular),2.03 $,1.00-3.87
Myanmar,Coke/Pepsi (0.33 liter bottle),0.60 $,0.40-1.00
Myanmar,Water (0.33 liter bottle),0.34 $,0.28-0.50
Myanmar,Markets,Edit,
Myanmar,"Milk (regular), (1 liter)",1.79 $,1.00-2.50
Myanmar,Loaf of Fresh White Bread (500g),1.09 $,1.00-2.71
Myanmar,"Rice (white), (1kg)",1.23 $,0.77-1.62
Myanmar,Eggs (regular) (12),1.44 $,1.20-2.40
Myanmar,Local Cheese (1kg),12.16 $,2.00-20.00
Myanmar,Chicken Fillets (1kg),5.04 $,3.00-10.82
Myanmar,Beef Round (1kg) (or Equivalent Back Leg Red Meat),7.54 $,5.00-21.64
Myanmar,Apples (1kg),2.10 $,1.40-4.50
Myanmar,Banana (1kg),0.88 $,0.55-2.00
Myanmar,Oranges (1kg),2.50 $,1.00-4.50
Myanmar,Tomato (1kg),1.12 $,0.88-3.00
Myanmar,Potato (1kg),1.02 $,0.60-3.00
Myanmar,Onion (1kg),1.02 $,0.80-2.00
Myanmar,Lettuce (1 head),1.38 $,0.44-2.00
Myanmar,Water (1.5 liter bottle),0.50 $,0.28-1.00
Myanmar,Bottle of Wine (Mid-Range),10.00 $,6.00-17.00
Myanmar,Domestic Beer (0.5 liter bottle),1.09 $,0.77-1.32
Myanmar,Imported Beer (0.33 liter bottle),1.71 $,0.80-2.35
Myanmar,Cigarettes 20 Pack (Marlboro),1.50 $,1.20-2.89
Myanmar,Transportation,Edit,
Myanmar,One-way Ticket (Local Transport),0.15 $,0.14-0.20
Myanmar,Monthly Pass (Regular Price),10.00 $,7.23-10.82
Myanmar,Taxi Start (Normal Tariff),1.36 $,0.71-2.00
Myanmar,Taxi 1km (Normal Tariff),1.00 $,0.87-1.00
Myanmar,Taxi 1hour Waiting (Normal Tariff),4.00 $,4.00-7.22
Myanmar,Gasoline (1 liter),0.74 $,0.66-0.80
Myanmar,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"35,000.00 $",
Myanmar,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"32,790.00 $","38,000.00-39,700.00"
Myanmar,Utilities (Monthly),Edit,
Myanmar,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",31.54 $,15.00-60.00
Myanmar,Mobile Phone Monthly Plan with Calls and 10GB+ Data,12.10 $,5.00-12.87
Myanmar,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",58.40 $,36.08-150.00
Myanmar,Sports And Leisure,Edit,
Myanmar,"Fitness Club, Monthly Fee for 1 Adult",33.53 $,18.00-70.00
Myanmar,Tennis Court Rent (1 Hour on Weekend),9.48 $,3.50-15.00
Myanmar,"Cinema, International Release, 1 Seat",4.50 $,3.44-5.00
Myanmar,Childcare,Edit,
Myanmar,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",607.50 $,"180.00-1,000.00"
Myanmar,"International Primary School, Yearly for 1 Child","10,280.00 $","2,400.00-25,000.00"
Myanmar,Clothing And Shoes,Edit,
Myanmar,1 Pair of Jeans (Levis 501 Or Similar),42.03 $,21.00-65.00
Myanmar,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",50.14 $,17.00-95.00
Myanmar,1 Pair of Nike Running Shoes (Mid-Range),85.62 $,57.72-170.00
Myanmar,1 Pair of Men Leather Business Shoes,84.90 $,45.00-100.00
Myanmar,Rent Per Month,Edit,
Myanmar,Apartment (1 bedroom) in City Centre,563.50 $,"400.00-1,500.00"
Myanmar,Apartment (1 bedroom) Outside of Centre,265.83 $,210.00-300.00
Myanmar,Apartment (3 bedrooms) in City Centre,"1,144.44 $","900.00-2,500.00"
Myanmar,Apartment (3 bedrooms) Outside of Centre,981.25 $,"600.00-2,000.00"
Myanmar,Buy Apartment Price,Edit,
Myanmar,Price per Square Meter to Buy Apartment in City Centre,"1,020.07 $","288.62-2,152.00"
Myanmar,Price per Square Meter to Buy Apartment Outside of Centre,171.37 $,79.48-500.00
Myanmar,Salaries And Financing,Edit,
Myanmar,Average Monthly Net Salary (After Tax),309.15 $,
Myanmar,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",11.60,9.50-13.00
Cambodia,Restaurants,Edit,Range
Cambodia,"Meal, Inexpensive Restaurant",3.60 $,2.00-8.00
Cambodia,"Meal for 2 People, Mid-range Restaurant, Three-course",30.00 $,18.00-86.00
Cambodia,McMeal at McDonalds (or Equivalent Combo Meal),6.50 $,6.00-7.50
Cambodia,Domestic Beer (0.5 liter draught),1.00 $,0.60-2.00
Cambodia,Imported Beer (0.33 liter bottle),2.50 $,1.50-4.00
Cambodia,Cappuccino (regular),2.73 $,1.00-5.00
Cambodia,Coke/Pepsi (0.33 liter bottle),0.94 $,0.50-2.00
Cambodia,Water (0.33 liter bottle),0.59 $,0.25-1.31
Cambodia,Markets,Edit,
Cambodia,"Milk (regular), (1 liter)",2.08 $,1.50-2.50
Cambodia,Loaf of Fresh White Bread (500g),1.67 $,1.00-3.00
Cambodia,"Rice (white), (1kg)",0.89 $,0.50-2.50
Cambodia,Eggs (regular) (12),1.83 $,1.44-2.40
Cambodia,Local Cheese (1kg),12.91 $,5.90-15.00
Cambodia,Chicken Fillets (1kg),4.29 $,2.50-7.00
Cambodia,Beef Round (1kg) (or Equivalent Back Leg Red Meat),9.70 $,7.00-12.00
Cambodia,Apples (1kg),3.51 $,2.00-5.00
Cambodia,Banana (1kg),1.39 $,0.75-3.00
Cambodia,Oranges (1kg),3.35 $,2.00-5.51
Cambodia,Tomato (1kg),1.39 $,1.00-2.00
Cambodia,Potato (1kg),1.26 $,1.00-2.00
Cambodia,Onion (1kg),1.19 $,1.00-2.00
Cambodia,Lettuce (1 head),1.58 $,0.50-2.80
Cambodia,Water (1.5 liter bottle),0.69 $,0.50-2.00
Cambodia,Bottle of Wine (Mid-Range),11.00 $,7.00-20.00
Cambodia,Domestic Beer (0.5 liter bottle),0.89 $,0.50-1.25
Cambodia,Imported Beer (0.33 liter bottle),1.71 $,1.00-2.50
Cambodia,Cigarettes 20 Pack (Marlboro),1.60 $,1.20-2.00
Cambodia,Transportation,Edit,
Cambodia,One-way Ticket (Local Transport),1.00 $,0.50-3.00
Cambodia,Monthly Pass (Regular Price),10.60 $,9.20-12.00
Cambodia,Taxi Start (Normal Tariff),1.00 $,0.74-1.00
Cambodia,Taxi 1km (Normal Tariff),1.00 $,0.75-1.00
Cambodia,Taxi 1hour Waiting (Normal Tariff),4.25 $,1.00-8.00
Cambodia,Gasoline (1 liter),1.18 $,1.00-1.30
Cambodia,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"46,500.00 $","45,000.00-48,000.00"
Cambodia,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"45,750.00 $","37,000.00-40,000.00"
Cambodia,Utilities (Monthly),Edit,
Cambodia,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",93.38 $,50.00-180.00
Cambodia,Mobile Phone Monthly Plan with Calls and 10GB+ Data,6.00 $,5.00-7.00
Cambodia,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",26.76 $,18.00-60.00
Cambodia,Sports And Leisure,Edit,
Cambodia,"Fitness Club, Monthly Fee for 1 Adult",45.47 $,15.00-100.00
Cambodia,Tennis Court Rent (1 Hour on Weekend),11.86 $,5.00-15.00
Cambodia,"Cinema, International Release, 1 Seat",4.75 $,3.50-10.00
Cambodia,Childcare,Edit,
Cambodia,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",298.47 $,150.00-450.00
Cambodia,"International Primary School, Yearly for 1 Child","8,580.77 $","3,000.00-20,000.00"
Cambodia,Clothing And Shoes,Edit,
Cambodia,1 Pair of Jeans (Levis 501 Or Similar),22.60 $,10.00-30.00
Cambodia,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",20.67 $,10.00-35.00
Cambodia,1 Pair of Nike Running Shoes (Mid-Range),83.00 $,30.00-100.00
Cambodia,1 Pair of Men Leather Business Shoes,47.40 $,20.00-100.00
Cambodia,Rent Per Month,Edit,
Cambodia,Apartment (1 bedroom) in City Centre,408.85 $,220.00-750.00
Cambodia,Apartment (1 bedroom) Outside of Centre,225.09 $,146.79-450.00
Cambodia,Apartment (3 bedrooms) in City Centre,980.95 $,"550.00-2,000.00"
Cambodia,Apartment (3 bedrooms) Outside of Centre,502.78 $,"300.00-1,300.00"
Cambodia,Buy Apartment Price,Edit,
Cambodia,Price per Square Meter to Buy Apartment in City Centre,"2,035.11 $","1,000.00-3,200.00"
Cambodia,Price per Square Meter to Buy Apartment Outside of Centre,"1,407.86 $","900.00-2,190.00"
Cambodia,Salaries And Financing,Edit,
Cambodia,Average Monthly Net Salary (After Tax),293.50 $,
Cambodia,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.11,7.00-18.00
Laos,Restaurants,Edit,Range
Laos,"Meal, Inexpensive Restaurant",1.99 $,1.70-3.21
Laos,"Meal for 2 People, Mid-range Restaurant, Three-course",20.00 $,10.59-50.00
Laos,McMeal at McDonalds (or Equivalent Combo Meal),5.00 $,5.00-5.00
Laos,Domestic Beer (0.5 liter draught),1.18 $,1.00-1.75
Laos,Imported Beer (0.33 liter bottle),2.47 $,1.99-4.00
Laos,Cappuccino (regular),1.99 $,1.16-3.90
Laos,Coke/Pepsi (0.33 liter bottle),1.00 $,0.60-1.30
Laos,Water (0.33 liter bottle),0.52 $,0.50-0.74
Laos,Markets,Edit,
Laos,"Milk (regular), (1 liter)",1.77 $,1.50-2.32
Laos,Loaf of Fresh White Bread (500g),1.60 $,0.80-2.20
Laos,"Rice (white), (1kg)",1.45 $,1.00-2.20
Laos,Eggs (regular) (12),2.25 $,1.16-3.60
Laos,Local Cheese (1kg),21.32 $,17.64-25.00
Laos,Chicken Fillets (1kg),5.88 $,2.65-10.00
Laos,Beef Round (1kg) (or Equivalent Back Leg Red Meat),4.70 $,4.41-5.00
Laos,Apples (1kg),2.31 $,2.00-2.61
Laos,Banana (1kg),1.30 $,0.70-2.20
Laos,Oranges (1kg),1.85 $,1.50-2.20
Laos,Tomato (1kg),4.41 $,
Laos,Potato (1kg),1.24 $,1.00-1.48
Laos,Onion (1kg),1.00 $,0.99-1.00
Laos,Lettuce (1 head),2.00 $,
Laos,Water (1.5 liter bottle),0.41 $,0.29-0.50
Laos,Bottle of Wine (Mid-Range),15.00 $,10.00-30.00
Laos,Domestic Beer (0.5 liter bottle),1.03 $,0.76-1.20
Laos,Imported Beer (0.33 liter bottle),2.22 $,1.00-2.50
Laos,Cigarettes 20 Pack (Marlboro),2.00 $,1.60-2.00
Laos,Transportation,Edit,
Laos,One-way Ticket (Local Transport),0.60 $,
Laos,Monthly Pass (Regular Price),70.00 $,
Laos,Taxi Start (Normal Tariff),2.00 $,1.41-2.00
Laos,Taxi 1km (Normal Tariff),1.58 $,1.16-2.00
Laos,Taxi 1hour Waiting (Normal Tariff),5.00 $,
Laos,Gasoline (1 liter),1.75 $,1.50-2.00
Laos,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"27,000.00 $",
Laos,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"35,000.00 $",
Laos,Utilities (Monthly),Edit,
Laos,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",106.25 $,85.00-127.50
Laos,Mobile Phone Monthly Plan with Calls and 10GB+ Data,40.19 $,
Laos,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",?,
Laos,Sports And Leisure,Edit,
Laos,"Fitness Club, Monthly Fee for 1 Adult",28.33 $,10.00-50.00
Laos,Tennis Court Rent (1 Hour on Weekend),7.34 $,5.00-9.68
Laos,"Cinema, International Release, 1 Seat",2.99 $,2.50-7.00
Laos,Childcare,Edit,
Laos,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",95.00 $,90.00-100.00
Laos,"International Primary School, Yearly for 1 Child","5,000.00 $",
Laos,Clothing And Shoes,Edit,
Laos,1 Pair of Jeans (Levis 501 Or Similar),110.73 $,55.00-166.45
Laos,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",63.79 $,60.99-66.58
Laos,1 Pair of Nike Running Shoes (Mid-Range),83.45 $,50.00-100.48
Laos,1 Pair of Men Leather Business Shoes,44.31 $,25.00-58.00
Laos,Rent Per Month,Edit,
Laos,Apartment (1 bedroom) in City Centre,518.75 $,450.00-625.00
Laos,Apartment (1 bedroom) Outside of Centre,400.00 $,350.00-500.00
Laos,Apartment (3 bedrooms) in City Centre,766.67 $,500.00-900.00
Laos,Apartment (3 bedrooms) Outside of Centre,550.00 $,250.00-900.00
Laos,Buy Apartment Price,Edit,
Laos,Price per Square Meter to Buy Apartment in City Centre,"3,500.00 $",
Laos,Price per Square Meter to Buy Apartment Outside of Centre,84.97 $,54.92-100.00
Laos,Salaries And Financing,Edit,
Laos,Average Monthly Net Salary (After Tax),560.00 $,
Laos,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",10.25,
Brunei,Restaurants,Edit,Range
Brunei,"Meal, Inexpensive Restaurant",4.65 $,2.20-8.80
Brunei,"Meal for 2 People, Mid-range Restaurant, Three-course",36.67 $,18.33-58.53
Brunei,McMeal at McDonalds (or Equivalent Combo Meal),5.78 $,5.12-6.97
Brunei,Domestic Non-Alcoholic Beer (0.5 liter draught),1.83 $,1.47-3.67
Brunei,Imported Non-Alcoholic Beer (0.33 liter bottle),2.20 $,1.83-2.93
Brunei,Cappuccino (regular),3.68 $,1.83-4.77
Brunei,Coke/Pepsi (0.33 liter bottle),0.93 $,0.73-1.83
Brunei,Water (0.33 liter bottle),0.75 $,0.37-1.83
Brunei,Markets,Edit,
Brunei,"Milk (regular), (1 liter)",2.00 $,1.32-3.66
Brunei,Loaf of Fresh White Bread (500g),1.82 $,0.88-3.67
Brunei,"Rice (white), (1kg)",1.80 $,0.73-3.51
Brunei,Eggs (regular) (12),2.38 $,1.39-3.29
Brunei,Local Cheese (1kg),13.10 $,5.87-32.34
Brunei,Chicken Fillets (1kg),7.36 $,3.66-11.00
Brunei,Beef Round (1kg) (or Equivalent Back Leg Red Meat),19.44 $,8.05-29.33
Brunei,Apples (1kg),3.76 $,2.57-6.15
Brunei,Banana (1kg),2.82 $,1.47-7.32
Brunei,Oranges (1kg),3.66 $,1.47-7.32
Brunei,Tomato (1kg),3.89 $,1.47-6.07
Brunei,Potato (1kg),2.17 $,0.66-3.66
Brunei,Onion (1kg),2.32 $,0.73-3.66
Brunei,Lettuce (1 head),4.12 $,1.46-7.90
Brunei,Water (1.5 liter bottle),1.02 $,0.40-1.47
Brunei,Bottle of Non-Alcoholic Wine (Mid-Range),11.00 $,2.20-25.67
Brunei,Domestic Non-Alcoholic Beer (0.5 liter bottle),3.91 $,0.73-7.33
Brunei,Imported Non-Alcoholic Beer (0.33 liter bottle),1.25 $,1.03-1.47
Brunei,Cigarettes 20 Pack (Marlboro),9.17 $,7.33-11.00
Brunei,Transportation,Edit,
Brunei,One-way Ticket (Local Transport),1.10 $,0.73-2.20
Brunei,Monthly Pass (Regular Price),22.00 $,22.00-22.00
Brunei,Taxi Start (Normal Tariff),4.39 $,2.93-5.13
Brunei,Taxi 1km (Normal Tariff),2.57 $,2.57-3.66
Brunei,Taxi 1hour Waiting (Normal Tariff),22.00 $,
Brunei,Gasoline (1 liter),0.38 $,0.27-0.41
Brunei,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"24,934.00 $","22,000.59-36,667.64"
Brunei,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"26,968.54 $","25,606.36-29,334.12"
Brunei,Utilities (Monthly),Edit,
Brunei,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",47.50 $,33.00-80.67
Brunei,Mobile Phone Monthly Plan with Calls and 10GB+ Data,21.95 $,14.67-21.95
Brunei,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",84.15 $,47.67-174.85
Brunei,Sports And Leisure,Edit,
Brunei,"Fitness Club, Monthly Fee for 1 Adult",50.30 $,25.67-88.00
Brunei,Tennis Court Rent (1 Hour on Weekend),9.35 $,0.00-18.33
Brunei,"Cinema, International Release, 1 Seat",4.40 $,3.67-5.85
Brunei,Childcare,Edit,
Brunei,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",220.95 $,117.34-365.81
Brunei,"International Primary School, Yearly for 1 Child","11,220.59 $","7,040.19-17,600.47"
Brunei,Clothing And Shoes,Edit,
Brunei,1 Pair of Jeans (Levis 501 Or Similar),63.17 $,14.67-131.69
Brunei,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",51.15 $,25.67-109.74
Brunei,1 Pair of Nike Running Shoes (Mid-Range),91.37 $,65.84-183.34
Brunei,1 Pair of Men Leather Business Shoes,79.75 $,36.67-182.90
Brunei,Rent Per Month,Edit,
Brunei,Apartment (1 bedroom) in City Centre,439.58 $,293.34-733.35
Brunei,Apartment (1 bedroom) Outside of Centre,386.58 $,227.34-660.02
Brunei,Apartment (3 bedrooms) in City Centre,"1,245.54 $","880.02-1,829.03"
Brunei,Apartment (3 bedrooms) Outside of Centre,842.22 $,"586.68-1,173.36"
Brunei,Buy Apartment Price,Edit,
Brunei,Price per Square Meter to Buy Apartment in City Centre,"1,578.75 $",
Brunei,Price per Square Meter to Buy Apartment Outside of Centre,"4,237.51 $",
Brunei,Salaries And Financing,Edit,
Brunei,Average Monthly Net Salary (After Tax),"1,699.24 $",
Brunei,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.75,3.00-4.80
Timor-Leste,Restaurants,Edit,Range
Timor-Leste,"Meal, Inexpensive Restaurant",5.00 $,5.00-10.00
Timor-Leste,"Meal for 2 People, Mid-range Restaurant, Three-course",50.00 $,40.00-60.00
Timor-Leste,McMeal at McDonalds (or Equivalent Combo Meal),7.75 $,7.50-8.00
Timor-Leste,Domestic Beer (0.5 liter draught),2.75 $,2.00-5.00
Timor-Leste,Imported Beer (0.33 liter bottle),4.00 $,3.00-5.00
Timor-Leste,Cappuccino (regular),3.67 $,1.75-5.00
Timor-Leste,Coke/Pepsi (0.33 liter bottle),2.00 $,2.00-2.00
Timor-Leste,Water (0.33 liter bottle),1.56 $,0.75-2.00
Timor-Leste,Markets,Edit,
Timor-Leste,"Milk (regular), (1 liter)",1.92 $,1.75-2.35
Timor-Leste,Loaf of Fresh White Bread (500g),1.98 $,1.00-3.00
Timor-Leste,"Rice (white), (1kg)",2.19 $,1.50-6.00
Timor-Leste,Eggs (regular) (12),2.55 $,1.80-3.00
Timor-Leste,Local Cheese (1kg),6.00 $,
Timor-Leste,Chicken Fillets (1kg),8.50 $,6.00-15.00
Timor-Leste,Beef Round (1kg) (or Equivalent Back Leg Red Meat),13.80 $,8.00-25.00
Timor-Leste,Apples (1kg),5.00 $,3.00-7.00
Timor-Leste,Banana (1kg),1.75 $,1.00-3.00
Timor-Leste,Oranges (1kg),3.38 $,2.00-5.00
Timor-Leste,Tomato (1kg),2.50 $,1.00-3.00
Timor-Leste,Potato (1kg),1.00 $,1.00-1.00
Timor-Leste,Onion (1kg),2.12 $,1.00-3.00
Timor-Leste,Lettuce (1 head),1.00 $,0.50-1.50
Timor-Leste,Water (1.5 liter bottle),0.53 $,0.50-0.60
Timor-Leste,Bottle of Wine (Mid-Range),13.50 $,10.00-25.00
Timor-Leste,Domestic Beer (0.5 liter bottle),1.93 $,1.25-2.00
Timor-Leste,Imported Beer (0.33 liter bottle),2.56 $,2.00-5.00
Timor-Leste,Cigarettes 20 Pack (Marlboro),2.00 $,1.75-3.00
Timor-Leste,Transportation,Edit,
Timor-Leste,One-way Ticket (Local Transport),0.25 $,0.25-5.00
Timor-Leste,Monthly Pass (Regular Price),56.27 $,
Timor-Leste,Taxi Start (Normal Tariff),3.00 $,2.00-5.00
Timor-Leste,Taxi 1km (Normal Tariff),3.00 $,2.50-4.00
Timor-Leste,Taxi 1hour Waiting (Normal Tariff),12.50 $,10.00-15.00
Timor-Leste,Gasoline (1 liter),1.17 $,0.90-1.50
Timor-Leste,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"21,573.00 $",
Timor-Leste,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"19,459.00 $",
Timor-Leste,Utilities (Monthly),Edit,
Timor-Leste,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",125.00 $,100.00-150.00
Timor-Leste,Mobile Phone Monthly Plan with Calls and 10GB+ Data,?,
Timor-Leste,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",82.50 $,30.00-150.00
Timor-Leste,Sports And Leisure,Edit,
Timor-Leste,"Fitness Club, Monthly Fee for 1 Adult",61.67 $,50.00-75.00
Timor-Leste,Tennis Court Rent (1 Hour on Weekend),11.25 $,5.00-10.00
Timor-Leste,"Cinema, International Release, 1 Seat",6.00 $,6.00-8.00
Timor-Leste,Childcare,Edit,
Timor-Leste,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",333.33 $,250.00-400.00
Timor-Leste,"International Primary School, Yearly for 1 Child","16,666.67 $","10,000.00-24,000.00"
Timor-Leste,Clothing And Shoes,Edit,
Timor-Leste,1 Pair of Jeans (Levis 501 Or Similar),61.25 $,40.00-75.00
Timor-Leste,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",40.00 $,30.00-50.00
Timor-Leste,1 Pair of Nike Running Shoes (Mid-Range),71.25 $,30.00-100.00
Timor-Leste,1 Pair of Men Leather Business Shoes,61.67 $,50.00-75.00
Timor-Leste,Rent Per Month,Edit,
Timor-Leste,Apartment (1 bedroom) in City Centre,980.00 $,"500.00-1,300.00"
Timor-Leste,Apartment (1 bedroom) Outside of Centre,875.00 $,"700.00-1,000.00"
Timor-Leste,Apartment (3 bedrooms) in City Centre,"2,150.00 $","1,800.00-3,000.00"
Timor-Leste,Apartment (3 bedrooms) Outside of Centre,"1,550.00 $","1,200.00-2,000.00"
Timor-Leste,Buy Apartment Price,Edit,
Timor-Leste,Price per Square Meter to Buy Apartment in City Centre,"4,666.67 $","4,000.00-5,000.00"
Timor-Leste,Price per Square Meter to Buy Apartment Outside of Centre,"4,000.00 $",
Timor-Leste,Salaries And Financing,Edit,
Timor-Leste,Average Monthly Net Salary (After Tax),"5,121.71 $",
Timor-Leste,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.37,
